,PostalCode,PostalCode Latitude,PostalCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M3A,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
1,M3A,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
2,M4A,43.7258823,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
3,M4A,43.7258823,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
4,M4A,43.7258823,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
5,M4A,43.7258823,-79.31557159999998,The Frig,43.72705130603407,-79.31741760908679,French Restaurant
6,M5A,43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
7,M5A,43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
8,M5A,43.6542599,-79.3606359,Cooper Koo Family YMCA,43.65319052672638,-79.35794700053884,Gym / Fitness Center
9,M5A,43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
10,M5A,43.6542599,-79.3606359,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
11,M5A,43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
12,M5A,43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
13,M5A,43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
14,M5A,43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
15,M5A,43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
16,M5A,43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
17,M5A,43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
18,M5A,43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
19,M5A,43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
20,M5A,43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
21,M5A,43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
22,M5A,43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
23,M5A,43.6542599,-79.3606359,Starbucks,43.651613,-79.364917,Coffee Shop
24,M5A,43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
25,M5A,43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
26,M5A,43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
27,M5A,43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
28,M5A,43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
29,M5A,43.6542599,-79.3606359,Underpass Park,43.65576361726024,-79.3548059463501,Park
30,M5A,43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
31,M5A,43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909016,Greek Restaurant
32,M5A,43.6542599,-79.3606359,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
33,M5A,43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
34,M5A,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
35,M5A,43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
36,M5A,43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
37,M5A,43.6542599,-79.3606359,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
38,M5A,43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
39,M5A,43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
40,M5A,43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
41,M5A,43.6542599,-79.3606359,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
42,M5A,43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
43,M5A,43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
44,M5A,43.6542599,-79.3606359,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
45,M5A,43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
46,M5A,43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
47,M5A,43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
48,M5A,43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
49,M5A,43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
50,M5A,43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
51,M5A,43.6542599,-79.3606359,Percy Park,43.655180204272725,-79.35742132052623,Park
52,M5A,43.6542599,-79.3606359,Flame Shack,43.656844075440546,-79.35891727496157,Restaurant
53,M5A,43.6542599,-79.3606359,Residence & Conference Centre,43.65304,-79.35704,Hotel
54,M5A,43.6542599,-79.3606359,The Healthy Road,43.656264585886454,-79.35711882680904,Health Food Store
55,M5A,43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
56,M6A,43.718518,-79.46476329999999,Roots,43.7182215,-79.4667762,Boutique
57,M6A,43.718518,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
58,M6A,43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
59,M6A,43.718518,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
60,M6A,43.718518,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
61,M6A,43.718518,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
62,M6A,43.718518,-79.46476329999999,Bluenotes' Head Office,43.718053735782526,-79.46320043192486,Fraternity House
63,M6A,43.718518,-79.46476329999999,Urban Behavior,43.71889855313541,-79.46469467303574,Clothing Store
64,M6A,43.718518,-79.46476329999999,Kitchen Stuff Plus,43.71908675341768,-79.46296954870189,Furniture / Home Store
65,M6A,43.718518,-79.46476329999999,Bluenotes,43.718846,-79.465906,Clothing Store
66,M6A,43.718518,-79.46476329999999,Imperial Carpet & Home,43.716672,-79.467415,Carpet Store
67,M6A,43.718518,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Miscellaneous Shop
68,M6A,43.718518,-79.46476329999999,Barrymore,43.715889754621216,-79.46818846540778,Furniture / Home Store
69,M6A,43.718518,-79.46476329999999,Canadian Appliance,43.72211025429708,-79.46726560592651,Furniture / Home Store
70,M7A,43.6623015,-79.3894938,Queen's Park,43.66394609897775,-79.39217952520835,Park
71,M7A,43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
72,M7A,43.6623015,-79.3894938,Nando's,43.661617063338966,-79.38609536960354,Portuguese Restaurant
73,M7A,43.6623015,-79.3894938,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
74,M7A,43.6623015,-79.3894938,YMCA,43.66275344493089,-79.3848492869005,Gym
75,M7A,43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066198,Sushi Restaurant
76,M7A,43.6623015,-79.3894938,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
77,M7A,43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
78,M7A,43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burrito Place
79,M7A,43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
80,M7A,43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican Restaurant
81,M7A,43.6623015,-79.3894938,Tabriz Persian Cookhouse,43.66533,-79.387484,Persian Restaurant
82,M7A,43.6623015,-79.3894938,College Park Area,43.65975136823981,-79.38491112965691,Park
83,M7A,43.6623015,-79.3894938,401 Games,43.663623277853254,-79.3840374323983,Hobby Shop
84,M7A,43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
85,M7A,43.6623015,-79.3894938,Curry's Art Store Ltd.,43.66283810530193,-79.38373201352064,Arts & Crafts Store
86,M7A,43.6623015,-79.3894938,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
87,M7A,43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
88,M7A,43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
89,M7A,43.6623015,-79.3894938,Fran's,43.661255320138636,-79.38389304122866,Diner
90,M7A,43.6623015,-79.3894938,St. Louis Bar and Grill,43.66385323730235,-79.38418742909323,Wings Joint
91,M7A,43.6623015,-79.3894938,W Burger Bar,43.66133100835633,-79.3835570768382,Burger Joint
92,M7A,43.6623015,-79.3894938,Buddies In Bad Times Theatre,43.663058539371825,-79.38344927771267,Nightclub
93,M7A,43.6623015,-79.3894938,The Captain's Boil,43.662374914979594,-79.38353475807129,Seafood Restaurant
94,M7A,43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
95,M7A,43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
96,M7A,43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
97,M7A,43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
98,M7A,43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
99,M7A,43.6623015,-79.3894938,Subway,43.658720367952235,-79.39090229383463,Sandwich Place
100,M7A,43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
101,M7A,43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
102,M7A,43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
103,M7A,43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
104,M7A,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
105,M7A,43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
106,M7A,43.6623015,-79.3894938,Tim Hortons,43.658599,-79.388498,Coffee Shop
